country,number,type,,"""country"",","number,","""type"",",,year_counted,"""year_counted"",",,,"Albania,","""Albania"",",,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,"3,400,000",pre_war_pop,,"""Poland"",","3400000,","""pre_war_pop"",",,1939,"""1939"",",,,"Austria,","""Austria"",",,,Austria,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,"3,000,000",pre_war_pop,,"""Soviet Union"",","3000000,","""pre_war_pop"",",,1939,"""1939"",",,,"Belgium,","""Belgium"",",,,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,"757,000",pre_war_pop,,"""Romania"",","757000,","""pre_war_pop"",",,1930,"""1930"",",,,"Bulgaria,","""Bulgaria"",",,,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,
Germany ,"500,000",pre_war_pop,,"""Germany "",","500000,","""pre_war_pop"",",,1933,"""1933"",",,,"Czechoslovakia/Czech Republic,","""Czechoslovakia/Czech Republic,"",",,,"Czechoslovakia/Czech Republic,",,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,"445,000",pre_war_pop,,"""Hungary"",","445000,","""pre_war_pop"",",,1930,"""1930"",",,,"Denmark,","""Denmark"",",,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,"357,000",pre_war_pop,,"""Czechoslovakia"",","357000,","""pre_war_pop"",",,1930,"""1930"",",,,"Estonia,","""Estonia"",",,,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,
France,"300,000",pre_war_pop,,"""France"",","300000,","""pre_war_pop"",",,1940,"""1940"",",,,"Finland,","""Finland"",",,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,"206,000",pre_war_pop,,"""Austria"",","206000,","""pre_war_pop"",",,1938,"""1938"",",,,"France,","""France"",",,,France,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,"150,000",pre_war_pop,,"""Lithuania"",","150000,","""pre_war_pop"",",,1939,"""1939"",",,,"Germany,","""Germany"",",,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"140,000",pre_war_pop,,"""Netherlands"",","140000,","""pre_war_pop"",",,1941,"""1941"",",,,"Greece,","""Greece"",",,,Greece,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"93,500",pre_war_pop,,"""Latvia"",","93500,","""pre_war_pop"",",,1939,"""1939"",",,,"Hungary,","""Hungary"",",,,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"90,000",pre_war_pop,,"""Belgium"",","90000,","""pre_war_pop"",",,1940,"""1940"",",,,"Italy,","""Italy"",",,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"70,000",pre_war_pop,,"""Greece"",","70000,","""pre_war_pop"",",,1940,"""1940"",",,,"Latvia,","""Latvia"",",,,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavi,"68,500",pre_war_pop,,"""Yugoslavi"",","68500,","""pre_war_pop"",",,1930,"""1930"",",,,"Lithuania,","""Lithuania"",",,,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"48,400",pre_war_pop,,"""Bulgaria"",","48400,","""pre_war_pop"",",,1934,"""1934"",",,,"Luxembourg,","""Luxembourg"",",,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"46,000",pre_war_pop,,"""Italy"",","46000,","""pre_war_pop"",",,1938,"""1938"",",,,"Netherlands,","""Netherlands"",",,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"7,800",pre_war_pop,,"""Denmark"",","7800,","""pre_war_pop"",",,1940,"""1940"",",,,"Norway,","""Norway"",",,,Norway,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,"4,300",pre_war_pop,,"""Estonia"",","4300,","""pre_war_pop"",",,1934,"""1934"",",,,"Poland,","""Poland"",",,,Poland,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,"3,600",pre_war_pop,,"""Luxembourg"",","3600,","""pre_war_pop"",",,1940,"""1940"",",,,"Romania,","""Romania"",",,,Romania,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"2,200",pre_war_pop,,"""Finland"",","2200,","""pre_war_pop"",",,1942,"""1942"",",,,"Soviet Union/Russia,","""Soviet Union/Russia,"",",,,"Soviet Union/Russia,",,,,,,,,,,,,,,,,,,,,,,,,,
Norway,"1,800",pre_war_pop,,"""Norway"",","1800,","""pre_war_pop"",",,1940,"""1940"",",,,Yugoslavia,"""Yugoslavia"",",,,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,200,pre_war_pop,,"""Albania"",","200,","""pre_war_pop"",",,1930,"""1930"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,"3,000,000",murdered_jews,,"""Poland"",","3000000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,"1,000,000",murdered_jews,,"""Soviet Union"",","1000000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,"287,000",murdered_jews,,"""Romania"",","287000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany ,"165,000",murdered_jews,,"""Germany "",","165000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,"270,000",murdered_jews,,"""Hungary"",","270000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,"260,000",murdered_jews,,"""Czechoslovakia"",","260000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"76,000",murdered_jews,,"""France"",","76000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,"65,000",murdered_jews,,"""Austria"",","65000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,"145,000",murdered_jews,,"""Lithuania"",","145000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"102,000",murdered_jews,,"""Netherlands"",","102000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"70,000",murdered_jews,,"""Latvia"",","70000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"25,000",murdered_jews,,"""Belgium"",","25000,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"58,800",murdered_jews,,"""Greece"",","58800,","""murdered_jews"",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
