Country,Region,Total Population,Jewish Population,,"""Country"",","""Region"",","Total Population,","Jewish Population,"
Bermuda,Americas,"65,000",100,,"""Bermuda"",","""Americas"",","65000,","100,"
Canada,Americas,"38,200,000","393,500",,"""Canada"",","""Americas"",","38200000,","393500,"
United States,Americas,"329,900,000","6,000,000",,"""United States"",","""Americas"",","329900000,","6000000,"
Bahamas,Americas,"400,000",200,,"""Bahamas"",","""Americas"",","400000,","200,"
Costa Rica,Americas,"5,100,000","2,600",,"""Costa Rica"",","""Americas"",","5100000,","2600,"
Cuba,Americas,"11,300,000",500,,"""Cuba"",","""Americas"",","11300000,","500,"
Dominican Republic,Americas,"10,500,000",100,,"""Dominican Republic"",","""Americas"",","10500000,","100,"
El Salvador,Americas,"6,500,000",100,,"""El Salvador"",","""Americas"",","6500000,","100,"
Guatemala,Americas,"18,100,000",900,,"""Guatemala"",","""Americas"",","18100000,","900,"
Jamaica,Americas,"2,800,000",500,,"""Jamaica"",","""Americas"",","2800000,","500,"
Mexico,Americas,"127,800,000","40,000",,"""Mexico"",","""Americas"",","127800000,","40000,"
Netherlands Antilles,Americas,"321,000",400,,"""Netherlands Antilles"",","""Americas"",","321000,","400,"
Panama,Americas,"4,300,000","10,000",,"""Panama"",","""Americas"",","4300000,","10000,"
Puerto Rico,Americas,"3,200,000","1,500",,"""Puerto Rico"",","""Americas"",","3200000,","1500,"
Virgin Islands,Americas,"105,000",400,,"""Virgin Islands"",","""Americas"",","105000,","400,"
Argentina,Americas,"45,400,000","175,000",,"""Argentina"",","""Americas"",","45400000,","175000,"
Bolivia,Americas,"11,600,000",500,,"""Bolivia"",","""Americas"",","11600000,","500,"
Brazil,Americas,"211,800,000","91,500",,"""Brazil"",","""Americas"",","211800000,","91500,"
Chile,Americas,"19,500,000","15,900",,"""Chile"",","""Americas"",","19500000,","15900,"
Colombia,Americas,"49,400,000","2,100",,"""Colombia"",","""Americas"",","49400000,","2100,"
Ecuador,Americas,"17,500,000",600,,"""Ecuador"",","""Americas"",","17500000,","600,"
Paraguay,Americas,"7,300,000","1,100",,"""Paraguay"",","""Americas"",","7300000,","1100,"
Peru,Americas,"32,800,000","1,900",,"""Peru"",","""Americas"",","32800000,","1900,"
Suriname,Americas,"602,000",200,,"""Suriname"",","""Americas"",","602000,","200,"
